y,m,d,h,c
2018,1,23,23,733
2018,1,24,0,539
2018,1,24,1,717
2018,1,24,2,373
2018,1,24,3,442
2018,1,24,4,449
2018,1,24,5,459
2018,1,24,6,668
2018,1,24,7,1159
2018,1,24,8,1327
2018,1,24,9,1248
2018,1,24,10,1378
2018,1,24,11,1407
2018,1,24,12,1387
2018,1,24,13,1387
2018,1,24,14,1348
2018,1,24,15,1480
2018,1,24,16,1518
2018,1,24,17,1471
2018,1,24,18,1313
2018,1,24,19,1351
2018,1,24,20,1398
2018,1,24,21,1753
2018,1,24,22,1221
2018,1,24,23,2799
2018,1,25,0,557
2018,1,25,1,713
2018,1,25,2,642
2018,1,25,3,772
2018,1,25,4,883
2018,1,25,5,698
2018,1,25,6,944
2018,1,25,7,1000
2018,1,25,8,1138
2018,1,25,9,1166
2018,1,25,10,1337
2018,1,25,11,1660
2018,1,25,12,1375
2018,1,25,13,1360
2018,1,25,14,1908
2018,1,25,15,2326
2018,1,25,16,2619
2018,1,25,17,1798
2018,1,25,18,1358
2018,1,25,19,1841
2018,1,25,20,1485
2018,1,25,21,1279
2018,1,25,22,1370
2018,1,25,23,777
2018,1,26,0,553
2018,1,26,1,686
2018,1,26,2,650
2018,1,26,3,918
2018,1,26,4,679
2018,1,26,5,625
2018,1,26,6,1024
2018,1,26,7,1181
2018,1,26,8,1466
2018,1,26,9,1659
2018,1,26,10,1539
2018,1,26,11,1512
2018,1,26,12,1742
2018,1,26,13,1620
2018,1,26,14,1892
2018,1,26,15,1882
2018,1,26,16,1856
2018,1,26,17,1965
2018,1,26,18,1548
2018,1,26,19,1468
2018,1,26,20,1652
2018,1,26,21,1689
2018,1,26,22,1397
2018,1,26,23,996
2018,1,27,0,845
2018,1,27,1,833
2018,1,27,2,317
2018,1,27,3,592
2018,1,27,4,388
2018,1,27,5,297
2018,1,27,6,408
2018,1,27,7,820
2018,1,27,8,999
2018,1,27,9,1096
2018,1,27,10,1403
2018,1,27,11,1265
2018,1,27,12,1264
2018,1,27,13,1181
2018,1,27,14,1508
2018,1,27,15,1655
2018,1,27,16,1554
2018,1,27,17,1564
2018,1,27,18,1282
2018,1,27,19,1239
2018,1,27,20,1166
2018,1,27,21,1617
2018,1,27,22,1560
2018,1,27,23,1211
2018,1,28,0,669
2018,1,28,1,824
2018,1,28,2,450
2018,1,28,3,419
2018,1,28,4,374
2018,1,28,5,190
2018,1,28,6,368
2018,1,28,7,687
2018,1,28,8,1191
2018,1,28,9,1252
2018,1,28,10,1482
2018,1,28,11,1440
2018,1,28,12,1590
2018,1,28,13,1525
2018,1,28,14,1806
2018,1,28,15,1875
2018,1,28,16,1720
2018,1,28,17,1571
2018,1,28,18,1510
2018,1,28,19,1639
2018,1,28,20,1797
2018,1,28,21,1742
2018,1,28,22,1237
2018,1,28,23,1141
2018,1,29,0,707
2018,1,29,1,748
2018,1,29,2,593
2018,1,29,3,567
2018,1,29,4,579
2018,1,29,5,354
2018,1,29,6,473
2018,1,29,7,687
2018,1,29,8,1051
2018,1,29,9,1296
2018,1,29,10,1265
2018,1,29,11,1330
2018,1,29,12,1386
2018,1,29,13,1248
2018,1,29,14,1255
2018,1,29,15,1485
2018,1,29,16,1710
2018,1,29,17,1773
2018,1,29,18,1351
2018,1,29,19,1327
2018,1,29,20,1484
2018,1,29,21,1818
2018,1,29,22,1586
2018,1,29,23,676
2018,1,30,0,555
2018,1,30,1,662
2018,1,30,2,461
2018,1,30,3,477
2018,1,30,4,465
2018,1,30,5,450
2018,1,30,6,564
2018,1,30,7,811
2018,1,30,8,1125
2018,1,30,9,1357
2018,1,30,10,1529
2018,1,30,11,1211
2018,1,30,12,1453
2018,1,30,13,1749
2018,1,30,14,1617
2018,1,30,15,1190
2018,1,30,16,1648
2018,1,30,17,1885
2018,1,30,18,1758
2018,1,30,19,1671
2018,1,30,20,1683
2018,1,30,21,1909
2018,1,30,22,1053
2018,1,30,23,603
2018,1,31,0,475
2018,1,31,1,663
2018,1,31,2,323
2018,1,31,3,394
2018,1,31,4,386
2018,1,31,5,322
2018,1,31,6,511
2018,1,31,7,792
2018,1,31,8,1182
2018,1,31,9,1399
2018,1,31,10,1465
2018,1,31,11,1355
2018,1,31,12,1240
2018,1,31,13,1317
2018,1,31,14,1357
2018,1,31,15,1607
2018,1,31,16,1472
2018,1,31,17,1648
2018,1,31,18,1510
2018,1,31,19,1345
2018,1,31,20,1619
2018,1,31,21,1638
2018,1,31,22,1415
2018,1,31,23,1156
2018,2,1,0,889
2018,2,1,1,1114
2018,2,1,2,897
2018,2,1,3,785
2018,2,1,4,495
2018,2,1,5,260
2018,2,1,6,550
2018,2,1,7,1121
2018,2,1,8,1415
2018,2,1,9,1651
2018,2,1,10,1630
2018,2,1,11,1468
2018,2,1,12,1482
2018,2,1,13,1860
2018,2,1,14,1705
2018,2,1,15,1905
2018,2,1,16,2156
2018,2,1,17,1746
2018,2,1,18,1562
2018,2,1,19,1751
2018,2,1,20,1441
2018,2,1,21,1687
2018,2,1,22,1219
2018,2,1,23,1052
2018,2,2,0,676
2018,2,2,1,661
2018,2,2,2,332
2018,2,2,3,546
2018,2,2,4,369
2018,2,2,5,280
2018,2,2,6,617
2018,2,2,7,841
2018,2,2,8,1183
2018,2,2,9,1357
2018,2,2,10,1105
2018,2,2,11,1469
2018,2,2,12,1228
2018,2,2,13,1443
2018,2,2,14,1079
