y,m,d,h,c
2018,1,30,16,415
2018,1,30,17,600
2018,1,30,18,564
2018,1,30,19,1974
2018,1,30,20,2523
2018,1,30,21,429
2018,1,30,22,542
2018,1,30,23,339
2018,1,31,0,208
2018,1,31,1,114
2018,1,31,2,102
2018,1,31,3,55
2018,1,31,4,56
2018,1,31,5,53
2018,1,31,6,140
2018,1,31,7,210
2018,1,31,8,347
2018,1,31,9,344
2018,1,31,10,383
2018,1,31,11,458
2018,1,31,12,584
2018,1,31,13,615
2018,1,31,14,468
2018,1,31,15,340
2018,1,31,16,338
2018,1,31,17,454
2018,1,31,18,356
2018,1,31,19,483
2018,1,31,20,537
2018,1,31,21,405
2018,1,31,22,340
2018,1,31,23,379
2018,2,1,0,320
2018,2,1,1,196
2018,2,1,2,90
2018,2,1,3,52
2018,2,1,4,46
2018,2,1,5,109
2018,2,1,6,120
2018,2,1,7,180
2018,2,1,8,214
2018,2,1,9,204
2018,2,1,10,397
2018,2,1,11,449
2018,2,1,12,339
2018,2,1,13,320
2018,2,1,14,363
2018,2,1,15,405
2018,2,1,16,457
2018,2,1,17,421
2018,2,1,18,362
2018,2,1,19,478
2018,2,1,20,595
2018,2,1,21,456
2018,2,1,22,362
2018,2,1,23,288
2018,2,2,0,163
2018,2,2,1,95
2018,2,2,2,57
2018,2,2,3,89
2018,2,2,4,57
2018,2,2,5,76
2018,2,2,6,101
2018,2,2,7,165
2018,2,2,8,247
2018,2,2,9,325
2018,2,2,10,307
2018,2,2,11,410
2018,2,2,12,273
2018,2,2,13,317
2018,2,2,14,259
2018,2,2,15,422
2018,2,2,16,437
2018,2,2,17,372
2018,2,2,18,482
2018,2,2,19,554
2018,2,2,20,505
2018,2,2,21,385
2018,2,2,22,301
2018,2,2,23,178
2018,2,3,0,150
2018,2,3,1,105
2018,2,3,2,84
2018,2,3,3,59
2018,2,3,4,20
2018,2,3,5,35
2018,2,3,6,60
2018,2,3,7,160
2018,2,3,8,231
2018,2,3,9,272
2018,2,3,10,375
2018,2,3,11,433
2018,2,3,12,322
2018,2,3,13,308
2018,2,3,14,485
2018,2,3,15,312
2018,2,3,16,273
2018,2,3,17,398
2018,2,3,18,318
2018,2,3,19,378
2018,2,3,20,487
2018,2,3,21,441
2018,2,3,22,391
2018,2,3,23,321
2018,2,4,0,150
2018,2,4,1,81
2018,2,4,2,68
2018,2,4,3,111
2018,2,4,4,74
2018,2,4,5,38
2018,2,4,6,60
2018,2,4,7,85
2018,2,4,8,248
2018,2,4,9,252
2018,2,4,10,428
2018,2,4,11,448
2018,2,4,12,334
2018,2,4,13,382
2018,2,4,14,410
2018,2,4,15,545
2018,2,4,16,443
2018,2,4,17,344
2018,2,4,18,358
2018,2,4,19,490
2018,2,4,20,554
2018,2,4,21,546
2018,2,4,22,352
2018,2,4,23,255
2018,2,5,0,121
2018,2,5,1,93
2018,2,5,2,81
2018,2,5,3,72
2018,2,5,4,58
2018,2,5,5,62
2018,2,5,6,98
2018,2,5,7,167
2018,2,5,8,296
2018,2,5,9,351
2018,2,5,10,388
2018,2,5,11,389
2018,2,5,12,315
2018,2,5,13,379
2018,2,5,14,461
2018,2,5,15,431
2018,2,5,16,482
2018,2,5,17,375
2018,2,5,18,527
2018,2,5,19,606
2018,2,5,20,529
2018,2,5,21,449
2018,2,5,22,1329
2018,2,5,23,249
2018,2,6,0,194
2018,2,6,1,118
2018,2,6,2,102
2018,2,6,3,41
2018,2,6,4,58
2018,2,6,5,78
2018,2,6,6,98
2018,2,6,7,137
2018,2,6,8,317
2018,2,6,9,285
2018,2,6,10,336
2018,2,6,11,336
2018,2,6,12,507
2018,2,6,13,435
2018,2,6,14,374
2018,2,6,15,341
2018,2,6,16,312
2018,2,6,17,339
2018,2,6,18,421
2018,2,6,19,483
2018,2,6,20,628
2018,2,6,21,524
2018,2,6,22,329
2018,2,6,23,205
2018,2,7,0,144
2018,2,7,1,100
2018,2,7,2,60
2018,2,7,3,59
2018,2,7,4,38
2018,2,7,5,57
2018,2,7,6,80
2018,2,7,7,232
2018,2,7,8,298
2018,2,7,9,323
2018,2,7,10,326
2018,2,7,11,345
2018,2,7,12,382
2018,2,7,13,847
2018,2,7,14,608
2018,2,7,15,382
2018,2,7,16,322
2018,2,7,17,456
2018,2,7,18,447
2018,2,7,19,430
2018,2,7,20,387
2018,2,7,21,493
2018,2,7,22,377
2018,2,7,23,174
2018,2,8,0,131
2018,2,8,1,134
2018,2,8,2,113
2018,2,8,3,34
2018,2,8,4,36
2018,2,8,5,41
2018,2,8,6,115
2018,2,8,7,149
2018,2,8,8,315
2018,2,8,9,458
2018,2,8,10,276
2018,2,8,11,289
2018,2,8,12,215
2018,2,8,13,213
2018,2,8,14,263
2018,2,8,15,328
2018,2,8,16,392
2018,2,8,17,307
2018,2,8,18,361
2018,2,8,19,344
2018,2,8,20,393
2018,2,8,21,482
2018,2,8,22,299
2018,2,8,23,225
2018,2,9,0,150
2018,2,9,1,97
2018,2,9,2,140
2018,2,9,3,61
2018,2,9,4,59
2018,2,9,5,31
2018,2,9,6,111
2018,2,9,7,162
2018,2,9,8,260
2018,2,9,9,403
2018,2,9,10,397
2018,2,9,11,280
2018,2,9,12,237
2018,2,9,13,290
2018,2,9,14,270
2018,2,9,15,332
2018,2,9,16,237
2018,2,9,17,265
2018,2,9,18,354
2018,2,9,19,386
2018,2,9,20,464
2018,2,9,21,481
2018,2,9,22,315
2018,2,9,23,242
2018,2,10,0,158
2018,2,10,1,120
2018,2,10,2,112
2018,2,10,3,111
2018,2,10,4,51
2018,2,10,5,65
2018,2,10,6,88
2018,2,10,7,124
2018,2,10,8,295
2018,2,10,9,304
2018,2,10,10,282
2018,2,10,11,319
2018,2,10,12,287
2018,2,10,13,275
2018,2,10,14,280
2018,2,10,15,243
2018,2,10,16,302
2018,2,10,17,379
2018,2,10,18,363
2018,2,10,19,342
2018,2,10,20,312
2018,2,10,21,420
2018,2,10,22,354
2018,2,10,23,232
2018,2,11,0,196
2018,2,11,1,98
2018,2,11,2,120
2018,2,11,3,71
2018,2,11,4,74
2018,2,11,5,42
2018,2,11,6,134
2018,2,11,7,183
2018,2,11,8,295
2018,2,11,9,328
2018,2,11,10,424
2018,2,11,11,529
2018,2,11,12,408
2018,2,11,13,302
2018,2,11,14,363
2018,2,11,15,483
2018,2,11,16,340
2018,2,11,17,495
2018,2,11,18,354
2018,2,11,19,409
2018,2,11,20,411
2018,2,11,21,419
2018,2,11,22,305
2018,2,11,23,253
2018,2,12,0,113
2018,2,12,1,53
2018,2,12,2,66
2018,2,12,3,63
2018,2,12,4,56
2018,2,12,5,52
2018,2,12,6,126
2018,2,12,7,153
2018,2,12,8,209
2018,2,12,9,306
2018,2,12,10,377
2018,2,12,11,485
2018,2,12,12,534
2018,2,12,13,616
2018,2,12,14,630
2018,2,12,15,627
2018,2,12,16,220
2018,2,12,17,242
2018,2,12,18,404
2018,2,12,19,398
2018,2,12,20,484
2018,2,12,21,326
2018,2,12,22,270
2018,2,12,23,169
2018,2,13,0,76
2018,2,13,1,66
2018,2,13,2,47
2018,2,13,3,36
2018,2,13,4,44
